id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
54094131,"Charming green wave ""Danube"" Studio",4865438,Daniela,,Leopoldstadt,48.22447,16.39985,Entire home/apt,65,7,5,2022-11-03,0.52,23,256,5,
54384985,Charmantes Apartment- TOP 44 am Augarten,441465731,Gernot,,Leopoldstadt,48.224388122558594,16.382957458496094,Entire home/apt,75,1,17,2022-12-04,2.54,6,15,17,
54094896,Room in Attic in the heart of Vienna,24340394,Michael,,Innere Stadt,48.2072,16.3678,Private room,89,2,1,2022-07-17,0.20,1,343,1,
550864655775401812,Moderne Wohnung nahe Schönbrunn,442704673,Markus,,Meidling,48.17879,16.32593,Entire home/apt,75,2,14,2022-09-07,1.40,1,0,14,
551166810988593720,D35 City Apartment close to city center,51562386,Karim,,Rudolfsheim-Fnfhaus,48.19881,16.32497,Entire home/apt,39,28,5,2022-10-09,0.52,19,247,5,
551288982849970436,Wonderful Apartment near Messe Prater & Old City!,391685367,Artem,,Leopoldstadt,48.22301,16.38975,Entire home/apt,56,1,92,2022-11-25,8.90,17,1,92,
54389256,Steiner Residences Nestroyplatz Comfort Apartments,129960877,Mary & Kiki,,Leopoldstadt,48.21789,16.38339,Entire home/apt,133,1,5,2022-10-31,0.56,36,61,5,
54114333,Sunny and colorful flat,121800425,Daniel,,Leopoldstadt,48.22557,16.38656,Entire home/apt,50,14,0,,,1,287,0,
54397404,Vienna Design Apartment I Stadhalle I BrandNEW,47047082,Gabi,,Rudolfsheim-Fnfhaus,48.19932174682617,16.3335018157959,Entire home/apt,100,5,1,2022-09-26,0.38,1,272,1,
54114590,"BRAND NEW DESIGNER APARTMENT, NEXT TO U3 with AC",2032537,Niko,,Rudolfsheim-Fnfhaus,48.19762,16.33217,Entire home/apt,95,28,3,2022-10-24,0.49,6,156,3,
551402453160687352,"74m²-Wohnung in Grün und Ruhelage, Hund willkommen",442088757,Angelika,,Ottakring,48.2133,16.32948,Entire home/apt,55,4,22,2022-12-04,2.72,1,12,22,
54397493,Central charming Art-Deco Apartment,16500314,Cordula,,Wieden,48.1909,16.36497,Entire home/apt,80,5,3,2022-06-13,0.37,1,151,3,
551853937946173066,Luxus Maisonette Liechtenstein top 4,8632750,Andreas,,Alsergrund,48.22725,16.35718,Entire home/apt,110,1,3,2022-11-20,0.74,78,351,3,
551864384650038669,"Landstraße 1BR w/ Pool & Doorman, nr Metro U3",385064248,Blueground,,Landstra§e,48.1947073,16.4109981,Entire home/apt,158,30,1,2022-03-12,0.11,234,0,1,
54118141,Triiiple Tower Apartments with Summer-Rooftop-Pool,8632750,Andreas,,Landstra§e,48.19367,16.4102,Private room,164,1,1,2022-07-04,0.18,78,357,1,
54118478,Gorgeous 2BR - Spacious & Suitable for Everyone,404652017,Bakir,,Landstra§e,48.19405,16.38993,Entire home/apt,135,1,23,2022-11-01,2.22,127,359,23,
54399795,Luxury Apartment - Panoramic view over Vienna,441852116,Iulia,,Floridsdorf,48.27714,16.46008,Entire home/apt,110,365,0,,,1,365,0,
54119684,"Perfect place 1min walk from Belvedere, with piano",154546193,Julia,,Wieden,48.19093,16.37798,Private room,53,3,54,2022-10-30,5.00,1,117,54,
551874459845770133,"Favoriten 1BR w/ Gym & Lounge, nr Hauptbahnhof",385064248,Blueground,,Favoriten,48.1853004,16.3826486,Entire home/apt,106,30,0,,,234,257,0,
551879487681174173,"Landstraße 1BR w/ Pool & Roof Lounge, nr Metro U3",385064248,Blueground,,Landstra§e,48.1938357,16.4121276,Entire home/apt,141,30,0,,,234,0,0,
551893888476009763,Smart & Cosy im trendigen 5ten,4615178,Eva,,Margareten,48.18512,16.35569,Entire home/apt,38,6,5,2022-08-11,0.59,20,69,5,
505738363310260959,Beautiful apartment with a terrace in the center,208652343,Daniela,,Innere Stadt,48.207485,16.377689,Entire home/apt,158,2,57,2022-11-27,5.63,1,58,57,
552074206244245820,"Newly furnished, modern studio in quiet area",289098154,Susanna,,Ottakring,48.20666,16.32891,Entire home/apt,30,90,0,,,1,195,0,
54138713,"1,5 ROOM FLAT IN CENTRUM",438900558,Anton,,Leopoldstadt,48.21843,16.37598,Entire home/apt,30,1,1,2022-01-09,0.09,1,204,1,
54153638,URBAN UNIT | nearby city center,38492379,Matej,,Hernals,48.21345,16.32687,Entire home/apt,181,2,30,2022-12-02,3.31,1,254,30,
516545695268186744,Cosy Viennese Appartment in hip 1070 district,9944927,Maria,,Neubau,48.20513,16.33836,Entire home/apt,65,2,8,2022-08-09,0.68,1,287,8,
552226292633919315,Zwischenmiete meiner 32m2 Wohnung in Wien.,13993489,Alexander,,Hernals,48.22179,16.33315,Entire home/apt,18,20,0,,,2,40,0,
